Title,Price,Currency,Location,URL
FAST CHEAP TOP BRAND INTEL CORE i5 8TH GEN 16GB RAM 480GB SSD WINDOWS 11 LAPTOP,129.99,GBP,GB,https://www.ebay.co.uk/itm/256280150930?_skw=laptop&hash=item3bab7cc392:g:nYIAAOSwKmNmufRh&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8WZCaRT8PIM9niJS9MOvG2L6IdiZnb9C4P7iprYZWX98mLy7dPI9nCeEf3GVpV19%2FdeGlhKatZkUCHmwvxTHpAB5bxDF9EaJw6OAY73V6dmjbakl6lfGcKjqH3L9mBIgoCzg9JnMzfAHkJf3unrbkdmkeJEI9s8Fv3%2B1bcp8S8%2F7jiBv6mTwUtPqek6TKtkNY5jqz0HPH9adxxaPRRhy0KscNbcGQnAOp7OXe5v4czPT79kKaskII8IZ8XYXPoiZhTZPWuxSRc9l4wObHMVD2Jm
"HP Laptop EliteBook 830 G7 13.3"" 10th Gen i7 16/32GB RAM 256/512GB SSD, VG",329.00,GBP,GB,https://www.ebay.co.uk/itm/116369394553?_skw=laptop&hash=item1b18280b79:g:ZcEAAOSwXw1nM1pI&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8UBPh47RDupewixzDDENlg2D%2FbWl6xb7Uc6nW9aKIuBzr1y917REuK3O%2BqQDZkNpKCwlHtuwr%2FpZRCSL4CyuhIPq%2BbfqOz4aQ%2FuhB8TduVmlZ0Z1YaiaQXX52042H7A9iJylVolXz%2FL9DaVl871dTgOQZPJsTOXa8Ps01kJsFWLJHqxgV5bhRxaLVMsPWv538OH%2BJAH8cq%2Fmhd%2BnDjclG0Mjwnx8DAE6TNVxoJWbxC1F%2F1vsZJq44n%2B4VB%2BkFrS1ZzBpbmDk7vz%2Fn4TRAZHppVY
SGIN Laptop 4GB DDR4 512GB SSD 15.6 Inch Computer Quad-Core 2.5GHz FHD Mini HDMI,139.99,GBP,GB,https://www.ebay.co.uk/itm/375472110087?_skw=laptop&hash=item576be1ba07:g:zqMAAOSwuRxnSZrJ&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8WvFtNtJaj0mxwy2LlscscprYn3vpesAGstmA8SlqXQNDsHt2pp9c9DpX%2FbgDfqp61xYIvxpKEdVo5X3KZftXEWzZk%2B3tS%2FnvFDQwidvVrJbNWVjVthP%2BSnfmLqmG%2Bij1DMixk4F49WeRsFyoVkie991ZUSg6hlhu2xCkvUsceUTAj4YAKZOTXGYlPd2Zk5CHKvAAA47Fl4LgJ5Q9%2FmS2bGxJ8MYD6OZXZ6NzaDLQrKVZG5bQLiMYO7NbkkWovAfY8iFbI0jlN5wBH2ScpbUb42
"SGIN  15.6""  Laptop Notebook FHD Intel Celeron N5095 12GB DDR4 1024GB SSD 2.8GHz",170.10,GBP,GB,https://www.ebay.co.uk/itm/375671219724?_skw=laptop&hash=item5777bfe60c:g:dgoAAOSwO6dnMdG9&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8X1RBeVV3g8B1jKsy%2Bpdu87Gms759OpA2eVGcNBgwFdWCB4WJxWC%2FOyXj0--HLlf4EbeZpc0UfIQwlZ8zdKQu9SEW2uLOyilU0d0py3B6BZhbvL4JPhamLvYkOYbn%2FY60V874ZBUF5cQez%2Fjv2jlKXfX8y2Ni7%2FWJ2INonLfq7%2FrBk8eCWLWaGVq5W0uhTSBijgFi%2Fh%2FVPbDJnucwnt6ye9h4CxmKumVAVUxGQYPQgML3%2F27%2F1s7j%2B0kcAecPAa3OoMv4mZQKhhYpFpbkBHBENh
Lenovo MIIX 320-10ICR 2in1 tablet - Intel Atom x5 Z8350 4GB RAM - 64GB (GRADE A),44.99,GBP,GB,https://www.ebay.co.uk/itm/174637981175?_skw=laptop&hash=item28a93c1df7:g:O0cAAOSwY0NmBYxF
Toshiba Laptop i3 2.3GHz 256GB SSD 8GB RAM 15.6 screen USB C Windows 11,124.99,GBP,GB,https://www.ebay.co.uk/itm/265567298589?_skw=laptop&hash=item3dd50b641d:g:kLoAAOSwxrBnHlbt
Dell Latitude 7400 Core i5-8365U 16GB Ram 512GB SSD FHD Windows 11 Pro Laptop,209.99,GBP,GB,https://www.ebay.co.uk/itm/235252719849?_skw=laptop&hash=item36c627a0e9:g:cgwAAOSw6ednTYgC
"DELL 3190 WINDOWS 11 LAPTOP INTEL SILVER 8GB RAM 128GB SSD 11.6"" HD WEBCAM HDMI",79.99,GBP,GB,https://www.ebay.co.uk/itm/156569768437?_skw=laptop&hash=item24744911f5:g:IQoAAOSw38tmz4jd
Lenovo ThinkPad T480 i5-8250U up to 64GB Ram up to 2TB SSD FHD Windows Laptop,186.99,GBP,GB,https://www.ebay.co.uk/itm/325547972345?_skw=laptop&hash=item4bcc2bd6f9:g:JukAAOSw3aJkW2Ld
Cheap Fast Windows 10 Laptop CORE i5 8GB RAM 256GB SSD WIFI,89.99,GBP,GB,https://www.ebay.co.uk/itm/196647614197?_skw=laptop&hash=item2dc91c76f5:g:yGIAAOSwTkpkkZ9R
